source	sha256	pages	chars_per_page	extractor	extracted_utc	layout	parts	review	reviewer	redistributable	notes
docs/app-notes/gore/gore_acoustic-vents-portfolio_datasheet_2025-07.pdf	c59a3be0766d705d30487537723b13d61e5812002590ae2e69bbff559fd7cf57	12	1243	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:45Z	single	1	unchecked		unknown	
docs/app-notes/gore/gore_gaw334_acoustic-vent-datasheet_en.pdf	31caf826c31012d5787280086572dbe67a6bc38dc05dacc8b6a48ff09c30adbd	2	1963	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:45Z	single	1	unchecked		unknown	
docs/app-notes/knowles/knowles_mic-selection-guide_r5.pdf	fa39c61a077c3aa89b66446210bdd5bdc86b4f95ada05d1be06b7ea6d5b39992	4	2097	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:45Z	single	1	unchecked		unknown	
docs/books/unsalan2018_dsp-using-arm-cortex-m_sample-chapter.pdf	bebb4f9f04b95919d67b9927932c1a9e35269eea6da23bfb1dc3ff09f3223221	42	1405	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:45Z	single	1	unchecked		unknown	
docs/datasheets/espressif/esp32-s3/espressif_esp32-s3_datasheet_v2.2.pdf	2d5a7cb7fd559d8d972bd88db32669c0196d23f22d7afaafb0f63d099b589a3f	87	1433	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:45Z	single	1	unchecked		yes	
docs/datasheets/espressif/esp32-s3/espressif_esp32-s3_hardware-design-guidelines_2026-08-07.pdf	04aa9e57515f591477a2b84f8c99c6c13946e5a378980d07ce33d33787dd4f2b	42	1314	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:45Z	single	1	unchecked		yes	master/latest HTML guide exported to PDF by Espressif, build date 2026-08-07; no version number.
docs/datasheets/espressif/esp32-s3/espressif_esp32-s3_trm_v1.8.pdf	4484bf8a69035ec42a731c58c64ada6fbd1f1618c5559409f134d9ea083f444f	1531	1253	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:47Z	split	45	unchecked		yes	
docs/datasheets/focaltech/ft6336u/focaltech_ft6236-ft6336-ft6436_datasheet_v0.3.pdf	d32c339b2e5cc380ea842c4bbb672edd8a77d420471bafd6f43f8885bbb006de	30	1323	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:48Z	single	1	unchecked		unknown	D-FT6X36-DataSheet-20140724-V0.3 preliminary; buydisplay mirror.
docs/datasheets/instruments/bk-4231/bk_4128-c_hats_product-data_bp0521.pdf	f32f2e7cc40750b678b595b43bcb906b9c6b3c6ab80b1ec4e3a243c551fa0af0	8	2715	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:48Z	single	1	unchecked		unknown	
docs/datasheets/instruments/bk-4231/bk_4231_product-data_bp1311.pdf	2ad04e807c2c52eda8023108a9d8b2d118e8e2edd51a5bcf9cb22366bf5b95ae	4	1870	pdftotext -layout (poppler 24.02.0)	2026-08-21T05:17:48Z	single	1	unchecked		unknown	
